name,type,score,raitings,hex,rgb,category,marca
sheer luck,classic,5,3,#f4e1e8,"rgb(244,225,225)",sheers,essie
always transparent,exprclassic,0,0,#fafbf8,"rgb(250,251,251)",sheers,essie
tuck it in my tux,classic,3.4,15,#f5f1ee,"rgb(245,241,241)",sheers,essie
desk mani,exprclassic,0,0,#f78963,"rgb(247,137,137)",sheers,essie
marshmallow,classic,4.4,83,#f1e6e3,"rgb(240,228,228)",sheers,essie
waltz,classic,4.8,15,#eae7da,"rgb(234,231,231)",sheers,essie
baby's breath,classic,5,4,#f5e7de,"rgb(245,231,231)",sheers,essie
allure,classic,4.9,19,#f7e7d8,"rgb(246,230,230)",sheers,essie
adore-a-ball,classic,4.6,10,#f9e9e9,"rgb(249,233,233)",sheers,essie
limo-scene,classic,4.3,31,#f0ece4,"rgb(238,234,234)",sheers,essie
pass-port to sail,classic,4,4,#d0c1ad,"rgb(208,193,193)",sheers,essie
east hamption cottage,classic,4.7,7,#f7e4dd,"rgb(247,228,228)",sheers,essie
ballet slippers,classic,4.5,174,#d8bdb9,"rgb(215,188,188)",sheers,essie
angel food,classic,5,6,#f0ddd6,"rgb(240,221,221)",sheers,essie
mademoiselle,classic,4.7,23,#f2d4d5,"rgb(242,212,212)",sheers,essie
skinny dip,classic,4.9,9,#f4cfc4,"rgb(244,207,207)",sheers,essie
vanity fairest,classic,4.6,50,#fee3e0,"rgb(254,227,227)",sheers,essie
hi maintenace,classic,3.8,17,#f1d5e5,"rgb(241,213,213)",sheers,essie
sugar daddy,classic,4.5,81,#fbcfe0,"rgb(251,207,207)",sheers,essie
spaghetti strap,classic,4.3,12,#f1bdc8,"rgb(241,189,189)",sheers,essie
pink glove service,classic,4.9,17,#f7bdc3,"rgb(247,189,189)",sheers,essie
back in the limo,classic,5,3,#f8b8ab,"rgb(248,184,184)",sheers,essie
dress is more,gel couture,5,4,#ffeee6,"rgb(255,238,238)",sheers,essie
blush-worthy,gel couture,4.5,2,#fdbfbd,"rgb(253,191,191)",sheers,essie
lace is more,gel couture,5,1,#ffefeb,"rgb(255,239,239)",whites,essie
let it bow,classic,2,3,#f1efec,"rgb(241,239,239)",whites,essie
twinkle in time,classic,0,0,#ebecf0,"rgb(235,236,236)",whites,essie
all daisy long,classic,4.2,5,#ece5db,"rgb(236,229,229)",whites,essie
get oasis,classic,0,0,#fdebdd,"rgb(253,235,235)",whites,essie
chiffon the move,gel couture,5,2,#f3efec,"rgb(243,239,239)",whites,essie
blanc,classic,4.2,61,#e8e8e8,"rgb(232,232,232)",whites,essie
boing seady,classic,5,2,#ece5d7,"rgb(236,229,229)",whites,essie
galentine,classic,0,0,#f5bdc0,"rgb(245,189,189)",whites,essie
pearly white,classic,4.8,5,#f2ece7,"rgb(242,236,236)",whites,essie
lace to the altar,gel couture,4.1,9,#edeeea,"rgb(237,238,238)",whites,essie
pre-show jitters,gel couture,4.7,15,#fff1f4,"rgb(255,241,241)",whites,essie
oicture perfect,gel couture,4.7,6,#f4eae2,"rgb(244,234,234)",whites,essie
satin slipper,gel couture,5,6,#f8d9c8,"rgb(248,217,217)",whites,essie
urban jungle,classic,0,0,#e5dbd2,"rgb(229,219,219)",whites,essie
lace me up,gel couture,3.9,17,#fee5e4,"rgb(254,229,229)",whites,essie
diamond in the cuff,gel couture,4.6,48,#fcece5,"rgb(252,236,236)",whites,essie
mixtaupe,classic,0,0,#e2d1c9,"rgb(226,209,209)",whites,essie
wearing hue?,gel couture,4.9,9,#fde1e4,"rgb(253,225,225)",whites,essie
imported bubbly,classic,3.6,11,#f6ded4,"rgb(246,222,222)",whites,essie
between the seats,classic,4.6,5,#deccc9,"rgb(222,204,204)",whites,essie
go go geisha,classic,0,0,#e7c3c6,"rgb(231,195,195)",nudes,essie
talk to the sand,classic,5,1,#fee2de,"rgb(254,226,226)",nudes,essie
stirring secrets,classic,5,3,#feddd9,"rgb(254,221,221)",nudes,essie
mind-full meditation,classic,4.8,4,#d6c7c1,"rgb(214,199,199)",nudes,essie
sheer selhouette,gel couture,5,1,#fbb8a8,"rgb(251,184,184)",nudes,essie
last nightie,gel couture,5,1,#e2bbb3,"rgb(226,187,187)",nudes,essie
you're a catch,classic,0,0,#feb6a5,"rgb(254,182,182)",nudes,essie
in full swing,classic,1.5,4,#fdb4aa,"rgb(253,180,180)",nudes,essie
feeling wellies,classic,3.4,7,#feceaa,"rgb(254,206,206)",nudes,essie
buttoned & buffed,gel couture,0,0,#e5b6a6,"rgb(229,182,182)",nudes,essie
rainwear don't care,classic,0,0,#f2dece,"rgb(242,222,222)",nudes,essie
high sewciety,gel couture,0,0,#d8b4b3,"rgb(216,180,180)",nudes,essie
come out to clay,classic,4.5,17,#e9b7b1,"rgb(233,183,183)",nudes,essie
of corset,gel couture,5,2,#e0aa9d,"rgb(224,170,170)",nudes,essie
buns up,exprclassic,0,0,#e2c1b2,"rgb(226,193,193)",nudes,essie
like a rebel,classic,0,0,#d39e95,"rgb(211,158,158)",nudes,essie
home grown,classic,0,0,#e08c6c,"rgb(224,140,140)",nudes,essie
low tide high slit,gel couture,0,0,#ddac9b,"rgb(221,172,172)",nudes,essie
call your bluff,classic,0,0,#c59c94,"rgb(197,156,156)",nudes,essie
of quarts,classic,5,1,#c4a499,"rgb(196,164,164)",nudes,essie
into the a-bliss,classic,4.6,17,#e28a95,"rgb(226,138,138)",nudes,essie
lady like remixed,classic,4.7,96,#e4aaa7,"rgb(228,170,170)",nudes,essie
kaf-tan,classic,5,2,#e18335,"rgb(225,131,131)",nudes,essie
don't be latte,exprclassic,0,0,#b08a62,"rgb(176,138,138)",nudes,essie
mid-day mocha,exprclassic,0,0,#b1927d,"rgb(177,146,146)",nudes,essie
wool me over,gel couture,0,0,#916b58,"rgb(145,107,107)",nudes,essie
on the bright cider,classic,5,4,#cf774f,"rgb(207,119,119)",nudes,essie
cliff hanger,classic,5,1,#bd7257,"rgb(189,114,114)",nudes,essie
rocky rose,classic,4.7,29,#d1493a,"rgb(209,73,73)",nudes,essie
don't be choco-late,classic,0,0,#763126,"rgb(118,49,49)",nudes,essie
bed rock& roll,classic,3.6,8,#83342c,"rgb(131,52,52)",nudes,essie
lighten the mood,classic,4.4,17,#ecd7d6,"rgb(236,215,215)",nudes,essie
don't be salty,classic,5,3,#dbb8af,"rgb(219,184,184)",nudes,essie
sand tropez,classic,4.8,72,#cfb7aa,"rgb(207,183,183)",nudes,essie
topless & barefoot,classic,4.6,62,#c7b4ae,"rgb(199,180,180)",nudes,essie
high class afair,classic,4,3,#facebb,"rgb(250,206,206)",nudes,essie
spin the bottle,classic,4.8,19,#dbbab3,"rgb(219,186,186)",nudes,essie
perennial chic,classic,4,2,#e2ab9b,"rgb(226,171,171)",nudes,essie
handmade of honor,gel couture,5,14,#e7b49d,"rgb(231,180,180)",nudes,essie
spool me over,gel couture,4.7,19,#fcc9ae,"rgb(252,201,201)",nudes,essie
tailor made with love,gel couture,0,0,#e79c8f,"rgb(231,156,156)",nudes,essie
wild nude,classic,4.6,71,#c3a095,"rgb(195,160,160)",nudes,essie
lady like,classic,4.7,96,#cda9b1,"rgb(205,169,169)",nudes,essie
demure vix,classic,4.9,23,#c59d9f,"rgb(197,157,157)",nudes,essie
touch up,gel couture,0,0,#cd94a2,"rgb(205,148,148)",nudes,essie
not just a pretty face,classic,4.7,10,#dec2b9,"rgb(222,194,194)",nudes,essie
bare with me,classic,4.6,25,#d5a696,"rgb(213,166,166)",nudes,essie
at the barre,gel couture,5,7,#eabaa4,"rgb(234,186,186)",nudes,essie
sunny daze,classic,3.5,2,#9b3917,"rgb(155,57,57)",nudes,essie
less is aura,classic,5,3,#c08879,"rgb(192,136,136)",nudes,essie
sew me,gel couture,0,0,#e29181,"rgb(226,145,145)",nudes,essie
pinned up,gel couture,4.6,122,#da8576,"rgb(218,133,133)",nudes,essie
mamba,classic,5,5,#cf8573,"rgb(207,133,133)",nudes,essie
